tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco
Apartamento,Presidente Kennedy,SER3,0,0,68,3,2,2,0.0,503000.0
Apartamento,Cocó,SER7,0,0,66,3,2,2,50.0,605000.0
Apartamento,Meireles,SER2,1,1,75,2,3,2,788.0,680000.0
Apartamento,Aldeota,SER2,1,0,64,2,2,1,0.0,928626.0
Apartamento,Aldeota,SER2,1,0,125,3,3,1,1220.0,300000.0
Apartamento,Manoel Dias Branco,SER7,0,0,163,4,5,2,0.0,1680000.0
Apartamento,Fátima,SER4,0,0,92,3,3,2,0.0,250000.0
Apartamento,Aldeota,SER2,1,0,94,3,3,3,1050.0,885850.0
Apartamento,Meireles,SER2,1,1,311,4,6,5,0.0,6800000.0
Apartamento,Meireles,SER2,1,1,105,3,3,2,1100.0,600000.0
Apartamento,Presidente Kennedy,SER3,0,0,100,3,2,1,345.0,399000.0
Apartamento,José de Alencar,SER6,0,0,65,2,2,1,400.0,185000.0
Apartamento,Dionisio Torres,SER2,0,0,91,3,3,3,1133.0,520000.0
Apartamento,Cajazeiras,SER9,0,0,44,2,1,1,0.0,165000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,204,4,4,3,1800.0,2100000.0
Apartamento,Papicu,SER2,0,0,108,3,3,2,0.0,390000.0
Apartamento,Aldeota,SER2,1,0,40,1,1,1,400.0,448000.0
Apartamento,Papicu,SER2,0,0,110,4,3,2,770.0,960000.0
Apartamento,Papicu,SER2,0,0,100,4,3,1,837.0,325000.0
Apartamento,Cocó,SER7,0,0,105,3,4,2,850.0,1012000.0
Apartamento,Carlito Pamplona,SER1,0,0,51,3,2,1,0.0,319280.0
Apartamento,Cocó,SER7,0,0,271,3,3,4,1800.0,2200000.0
Apartamento,Meireles,SER2,1,1,43,1,1,1,1180.0,465000.0
Apartamento,Aldeota,SER2,1,0,169,3,4,2,1800.0,550000.0
Apartamento,Cidade dos Funcionários,SER6,0,0,68,3,3,1,400.0,195000.0
Apartamento,Meireles,SER2,1,1,150,3,5,2,1460.0,1300000.0
Apartamento,Itaperi,SER8,0,0,44,2,1,1,300.0,160000.0
Apartamento,Fátima,SER4,0,0,123,3,3,1,1050.0,345000.0
Apartamento,Mucuripe,SER2,0,1,164,4,5,3,0.0,1515000.0
Apartamento,Barra do Ceará,SER1,0,1,44,2,1,1,350.0,145000.0
Apartamento,Cidade dos Funcionários,SER6,0,0,91,3,2,2,480.0,615000.0
Apartamento,Meireles,SER2,1,1,85,3,1,1,1300.0,299000.0
Apartamento,Fátima,SER4,0,0,121,3,3,1,800.0,260000.0
Apartamento,Messejana,SER6,0,0,65,3,2,2,411.0,430000.0
Apartamento,Praia do Futuro,SER7,0,1,47,2,2,1,0.0,332000.0
Apartamento,Mucuripe,SER2,0,1,114,3,4,3,1060.0,1453000.0
Apartamento,Edson Queiroz,SER7,0,0,81,3,3,2,615.0,655000.0
Apartamento,Meireles,SER2,1,1,155,4,5,3,970.0,1990000.0
Apartamento,Aldeota,SER2,1,0,134,3,5,2,1048.0,690000.0
Apartamento,Montese,SER4,0,0,61,3,2,2,350.0,340000.0
Apartamento,Passaré,SER8,0,0,38,2,1,1,0.0,249000.0
Apartamento,Presidente Kennedy,SER3,0,0,53,2,2,1,0.0,408000.0
Apartamento,Itaperi,SER8,0,0,60,3,2,1,550.0,170000.0
Apartamento,São João do Tauape,SER2,0,0,65,3,2,1,350.0,180000.0
Apartamento,Aldeota,SER2,1,0,69,3,2,2,720.0,640000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,98,3,3,2,850.0,949000.0
Apartamento,Dionisio Torres,SER2,0,0,156,3,4,3,1370.0,629000.0
Apartamento,Meireles,SER2,1,1,134,3,4,2,1200.0,650000.0
Apartamento,Meireles,SER2,1,1,325,3,5,5,5000.0,4000000.0
Apartamento,Fátima,SER4,0,0,65,2,2,1,700.0,240000.0
Apartamento,Joaquim Távora,SER2,1,0,125,3,1,3,1500.0,715000.0
Apartamento,Centro,SER12,0,0,110,3,2,1,180.0,250000.0
Apartamento,Meireles,SER2,1,1,58,2,1,2,860.0,890000.0
Apartamento,Mucuripe,SER2,0,1,112,3,4,3,1060.0,1278000.0
Apartamento,Cocó,SER7,0,0,105,3,3,2,0.0,1187000.0
Apartamento,Jacarecanga,SER1,1,0,48,2,1,1,450.0,290000.0
Apartamento,Meireles,SER2,1,1,186,3,4,3,2080.0,1200000.0
Apartamento,Papicu,SER2,0,0,161,3,4,2,1298.0,270000.0
Apartamento,Jóquei Clube,SER12,0,0,49,2,2,1,0.0,350000.0
Apartamento,Dionisio Torres,SER2,0,0,50,2,2,1,600.0,610000.0
Apartamento,Montese,SER4,0,0,62,3,2,1,400.0,375000.0
Apartamento,Jardim Cearense,SER10,0,0,52,2,1,1,0.0,200000.0
Apartamento,Praia do Futuro,SER7,0,1,90,3,3,2,0.0,400000.0
Apartamento,Meireles,SER2,1,1,112,3,3,2,0.0,800000.0
Apartamento,Joaquim Távora,SER2,1,0,110,3,4,3,0.0,850000.0
Apartamento,Aldeota,SER2,1,0,63,2,1,1,1100.0,450000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,73,2,2,2,0.0,450000.0
Apartamento,Cocó,SER7,0,0,74,3,3,2,890.0,478999.0
Apartamento,Cambeba,SER6,0,0,65,3,2,2,846.0,369000.0
Apartamento,Cocó,SER7,0,0,200,4,5,4,2050.0,1750000.0
Apartamento,Parque Dois Irmãos,SER8,0,0,57,2,2,2,490.0,340000.0
Apartamento,Aldeota,SER2,1,0,40,1,1,1,250.0,413000.0
Apartamento,Guararapes,SER7,0,0,331,4,5,4,1400.0,2250000.0
Apartamento,Mucuripe,SER2,0,1,86,2,3,2,800.0,765000.0
Apartamento,Papicu,SER2,0,0,78,3,2,2,623.0,729000.0
Apartamento,José Bonifácio,SER4,1,0,105,3,3,2,0.0,899000.0
Apartamento,Mucuripe,SER2,0,1,221,3,4,4,2632.0,2399000.0
Apartamento,Aldeota,SER2,1,0,119,3,4,2,0.0,1387718.0
Apartamento,Mucuripe,SER2,0,1,86,2,2,2,690.0,720000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,75,2,3,2,779.0,740000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,90,3,2,1,850.0,319999.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,124,4,3,3,998.0,1400000.0
Apartamento,Aldeota,SER2,1,0,218,4,4,4,0.0,2983106.0
Apartamento,Dunas,Outros,0,0,59,3,2,1,380.0,420000.0
Apartamento,Cocó,SER7,0,0,82,4,3,1,610.0,460000.0
Apartamento,Meireles,SER2,1,1,297,4,5,3,2600.0,2500000.0
Apartamento,Parangaba,SER4,0,0,105,3,2,2,343.0,330000.0
Apartamento,Papicu,SER2,0,0,70,3,3,1,650.0,505000.0
Apartamento,Meireles,SER2,1,1,276,3,4,3,2900.0,1490000.0
Apartamento,Presidente Kennedy,SER3,0,0,53,3,3,2,0.0,423000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,112,4,4,3,0.0,950000.0
Apartamento,Papicu,SER2,0,0,78,2,2,1,650.0,250000.0
Apartamento,Aldeota,SER2,1,0,140,3,3,2,1080.0,1400000.0
Apartamento,Meireles,SER2,1,1,145,3,4,2,1470.0,699000.0
Apartamento,Montese,SER4,0,0,91,3,2,2,373.0,310000.0
Apartamento,Aldeota,SER2,1,0,223,4,4,4,2531.0,900000.0
Apartamento,Papicu,SER2,0,0,65,3,2,2,550.0,550000.0
Apartamento,Aldeota,SER2,1,0,48,1,1,1,0.0,602210.0
Apartamento,Meireles,SER2,1,1,311,4,6,4,2500.0,1600000.0
Apartamento,Vila União,SER4,0,0,60,2,2,1,1060.0,280000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,292,5,5,2,0.0,2490000.0
Apartamento,São Gerardo,SER3,0,0,91,3,3,2,704.0,680000.0
Apartamento,Cocó,SER7,0,0,156,4,5,2,1750.0,790000.0
Apartamento,Cocó,SER7,0,0,128,3,2,4,1474.0,500000.0
Apartamento,Aldeota,SER2,1,0,65,2,2,2,800.0,1140000.0
Apartamento,Damas,SER4,0,0,72,3,3,1,352.0,220000.0
Apartamento,Cambeba,SER6,0,0,60,3,3,2,0.0,324999.0
Apartamento,Guararapes,SER7,0,0,220,3,6,4,2000.0,2300000.0
Apartamento,Cocó,SER7,0,0,114,3,3,1,751.0,390000.0
Apartamento,Messejana,SER6,0,0,66,2,2,1,250.0,120000.0
Apartamento,Meireles,SER2,1,1,260,3,5,4,2414.0,2450000.0
Apartamento,Meireles,SER2,1,1,113,4,4,2,1500.0,1300000.0
Apartamento,Cocó,SER7,0,0,112,3,4,2,1200.0,625000.0
Apartamento,Guararapes,SER7,0,0,90,3,3,1,950.0,420000.0
Apartamento,Benfica,SER4,1,0,67,3,3,3,511.0,649000.0
Apartamento,Meireles,SER2,1,1,203,3,4,4,2600.0,3200000.0
Apartamento,Meireles,SER2,1,1,220,4,6,4,2400.0,1995000.0
Apartamento,Meireles,SER2,1,1,166,3,5,3,0.0,2100000.0
Apartamento,Aldeota,SER2,1,0,170,3,4,3,2650.0,690000.0
