id,origem,tipo,localizacao,ser,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
13c79064-39ad-4309-ba5e-374eec92d1a9,Chaves na Mão,Condomínio,Cidade dos Funcionários,SER6,213,4,4,2,1200.0,760577.0,2025-04-23 23:07:07.008526
2097b470-ee30-426a-ae10-b3628465aab5,Chaves na Mão,Condomínio,Passaré,SER8,90,3,2,3,650.0,490000.0,2025-04-23 23:07:07.008526
783cb366-2d56-4ff3-9fcd-f22c38b8a6d6,Chaves na Mão,Condomínio,Maraponga,SER10,230,4,4,4,650.0,1199000.0,2025-04-23 23:07:07.008526
71bf94e6-d364-484f-83c9-b62433cc72b7,Chaves na Mão,Condomínio,Papicu,SER2,250,3,4,5,0.0,690000.0,2025-04-23 23:07:07.008526
66b4231d-63b6-4192-91d8-f6235727593c,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,151,3,4,4,1850.0,699990.0,2025-04-23 23:07:07.008526
ddec9bd3-09cc-4c21-921f-d54846c629ea,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,130,4,3,2,0.0,590000.0,2025-04-23 23:07:07.008526
ffd08062-bc10-41cf-a636-a1b83cbd9195,Chaves na Mão,Condomínio,Patriolino Ribeiro,SER7,700,4,6,12,1500.0,2640000.0,2025-04-23 23:07:07.008526
1c9e8630-9606-48e4-9d77-292dbe09659f,Chaves na Mão,Condomínio,Cambeba,SER6,226,4,4,3,140.0,850000.0,2025-04-23 23:07:07.008526
3dcf1646-b9f3-4d5f-9fad-ef02c6af3bbf,Chaves na Mão,Condomínio,Prefeito José Walter,SER8,200,5,3,1,0.0,270000.0,2025-04-23 23:07:07.008526
4520011d-dcd4-488e-a792-e96dede8a4b2,Chaves na Mão,Condomínio,Passaré,SER8,120,3,3,2,50.0,480000.0,2025-04-23 23:07:07.008526
2739b825-e255-4e4c-9520-997b80df69e2,Chaves na Mão,Condomínio,Parquelândia,SER3,290,7,5,3,0.0,580000.0,2025-04-23 23:07:07.008526
8193c185-c4ce-4355-81a3-22b005006824,Chaves na Mão,Condomínio,Parque Manibura,SER6,192,4,5,4,0.0,660000.0,2025-04-23 23:07:07.008526
dce7f44c-9e38-4eb4-8bdc-466330189088,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,128,2,2,2,0.0,320000.0,2025-04-23 23:07:07.008526
ef7b76aa-4167-410f-83a7-54738fc97d02,Chaves na Mão,Condomínio,Papicu,SER2,149,3,3,3,85.0,470000.0,2025-04-23 23:07:07.008526
366008e6-1131-4b6c-a7f5-2b9b81a28810,Chaves na Mão,Condomínio,Parquelândia,SER3,250,4,5,8,0.0,1500000.0,2025-04-23 23:07:07.008526
8ffd7f2e-90c2-4655-aca5-4df31684349d,Chaves na Mão,Condomínio,Centro,SER12,960,9,9,4,0.0,2350000.0,2025-04-23 23:07:07.008526
4a2b5aa1-2d53-4b63-bb16-62a538efa84b,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,98,3,3,4,0.0,449000.0,2025-04-23 23:07:07.008526
